Credit Amount,Duration of Credit (month),Age (years),Creditability,No of dependents,Telephone,Foreign Worker,Sex & Marital Status,Account Balance,Payment Status of Previous Credit,Purpose,Value Savings/Stocks,Length of current employment,Instalment percent,Guarantors,Duration in Current address,Most valuable available asset,Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation
1049,18,21,1,1,0,1,male- single,no running account,paid back previous credits at this bank,used car,no savings,less than one year,less than 20,none,greater than 7,car/other,no running credits,free apartment,one,skilled
2799,9,36,1,0,0,1,male- single,no running account,paid back previous credits at this bank,other,no savings,1 to 4 years,25 and 35,none,1 to 4,no assets,no running credits,free apartment,two or three,skilled
841,12,23,1,1,0,1,male- single,no balance or debit,no previous credits,retraining,less than 100,4  to 7 years,25 and 35,none,greater than 7,no assets,no running credits,free apartment,one,unskilled
2122,12,39,1,0,0,0,male- single,no running account,paid back previous credits at this bank,other,no savings,1 to 4 years,20 and 25,none,1 to 4,no assets,no running credits,free apartment,two or three,unskilled
2171,12,38,1,1,0,0,male- single,no running account,paid back previous credits at this bank,other,no savings,1 to 4 years,less than 20,none,greater than 7,car/other,other banks,owner-occupied flat,two or three,unskilled
2241,10,48,1,0,0,0,male- single,no running account,paid back previous credits at this bank,other,no savings,less than one year,greater than 35,none,4 to 7,no assets,no running credits,free apartment,two or three,unskilled
3398,8,39,1,1,0,0,male- single,no running account,paid back previous credits at this bank,other,no savings,4  to 7 years,greater than 35,none,greater than 7,no assets,no running credits,owner-occupied flat,two or three,unskilled
1361,6,40,1,0,0,0,male- single,no running account,paid back previous credits at this bank,other,no savings,less than one year,25 and 35,none,greater than 7,no assets,no running credits,owner-occupied flat,one,unskilled
1098,18,65,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,unemployed,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,two or three,unemployed
3758,24,23,1,1,0,1,male- single,no balance or debit,no previous credits,items of furniture,100 to 500,unemployed,greater than 35,none,greater than 7,house/land,no running credits,free apartment,one,unemployed
3905,11,36,1,0,0,1,male- single,no running account,paid back previous credits at this bank,other,no savings,1 to 4 years,25 and 35,none,1 to 4,no assets,no running credits,free apartment,two or three,skilled
6187,30,24,1,1,0,1,female,no running account,paid back previous credits at this bank,new car,less than 100,4  to 7 years,greater than 35,none,greater than 7,savings,no running credits,free apartment,two or three,skilled
1957,6,31,1,1,0,1,male- single,no running account,paid back previous credits at this bank,items of furniture,no savings,4  to 7 years,greater than 35,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
7582,48,31,1,1,1,1,male- single,no balance or debit,no problems with current credits at this bank,new carother,less than 100,unemployed,25 and 35,none,greater than 7,house/land,no running credits,owner-occupied flat,one,executive
1936,18,23,1,1,0,1,female,no running account,no previous credits,items of furniture,greater than 1000,4  to 7 years,25 and 35,none,greater than 7,savings,no running credits,free apartment,two or three,unskilled
2647,6,44,1,0,0,1,male- single,no running account,no previous credits,items of furniture,100 to 500,1 to 4 years,25 and 35,none,4 to 7,no assets,no running credits,free apartment,one,skilled
3939,11,40,1,0,0,1,male- single,no running account,paid back previous credits at this bank,other,no savings,1 to 4 years,greater than 35,none,1 to 4,no assets,no running credits,owner-occupied flat,two or three,unskilled
3213,18,25,1,1,0,1,female,no balance or debit,no previous credits,items of furniture,100 to 500,less than one year,greater than 35,none,4 to 7,no assets,no running credits,free apartment,one,skilled
2337,36,36,1,1,0,1,male- single,no balance or debit,paid back previous credits at this bank,items of furniture,no savings,more than 7 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,one,skilled
7228,11,39,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,other,no savings,1 to 4 years,greater than 35,none,greater than 7,car/other,no running credits,owner-occupied flat,two or three,unskilled
3676,6,37,1,0,0,1,male- single,no running account,paid back previous credits at this bank,other,no savings,1 to 4 years,greater than 35,none,4 to 7,no assets,no running credits,free apartment,four or five,skilled
3124,12,49,1,0,0,1,male- single,no balance or debit,paid back previous credits at this bank,other,no savings,less than one year,greater than 35,none,4 to 7,no assets,other banks,owner-occupied flat,two or three,unskilled
