ID,Income,Age,Job Experience,Risk_Flag
1,1303834,23,3,0
2,7574516,40,10,0
3,3991815,66,4,0
4,6256451,41,2,1
5,5768871,47,11,1
6,6915937,64,0,0
7,3954973,58,14,0
8,1706172,33,2,0
9,7566849,24,17,0
10,8964846,23,12,0
11,4634680,78,7,0
12,6623263,22,4,0
13,9120988,28,9,0
14,8043880,57,12,0
15,9420838,48,6,1
16,5694236,39,2,0
17,7315840,71,8,0
18,3666346,56,12,1
19,2241112,28,8,0
20,5431918,40,1,0
21,9225468,54,14,0
22,6506739,50,4,0
23,9157379,72,13,0
24,9236505,36,19,0
25,1065465,23,15,0
26,1797876,76,20,0
27,6063428,38,6,0
28,9643150,24,13,0
29,8832725,64,5,1
30,4386333,31,16,0
31,3939397,52,19,0
32,6944134,59,5,0
33,4128828,21,10,0
34,5023035,26,10,0
35,9086933,55,7,0
36,7537675,45,4,0
37,9625415,77,15,0
38,7904011,71,3,0
39,3540135,78,4,0
40,8739032,55,3,0
41,3217258,23,12,0
42,2735428,72,20,0
43,9760667,63,17,1
44,8390825,30,11,0
45,9639445,45,9,1
46,6868118,25,16,1
47,2471915,73,18,0
48,8477026,52,10,0
49,8996641,75,12,0
50,4043791,48,18,0
51,4260004,27,5,0
52,3634814,74,4,0
53,9518593,71,6,0
54,5990870,74,4,0
55,1213131,67,8,0
56,1885923,46,16,1
57,5554586,39,18,1
58,6555332,56,20,0
59,9861298,59,16,1
60,9311486,68,9,0
61,9440590,68,11,0
62,8773158,58,18,1
63,9724250,67,17,0
64,1729774,28,6,0
65,6178223,46,19,0
66,9822116,27,12,0
67,4334000,36,4,0
68,9576258,79,18,0
69,8788135,77,7,0
70,7002610,56,4,0
71,5605985,57,12,0
72,3208322,55,18,0
73,2408148,59,10,0
74,9585696,42,13,0
75,2116007,24,5,1
76,3798306,42,11,0
77,2966907,30,6,0
78,4994848,58,9,0
79,326455,27,20,0
80,6227811,60,14,0
81,7839236,68,7,1
82,6115704,57,17,1
83,7433875,32,12,1
84,6245331,65,6,0
85,4700701,48,14,0
86,5898669,32,9,0
87,4329713,42,9,0
88,4047079,49,7,0
89,9784947,24,11,0
90,6097344,27,16,0
91,826681,78,4,0
92,137594,52,10,1
93,575463,60,12,0
94,8005608,65,8,1
95,7527288,24,10,0
96,7021605,31,14,0
97,3449511,50,19,0
98,3472864,39,10,0
99,5083653,35,14,0
100,6275695,66,10,1
101,4336059,54,12,0
102,4976661,22,9,0
103,4417164,42,12,0
104,9334042,52,10,0
105,535157,50,2,0
106,4126991,66,3,0
107,5165629,61,0,1
108,1240330,29,18,0
109,862841,77,7,0
110,6501716,37,5,0
111,1197375,41,0,0
112,7430695,59,8,0
113,4726819,67,5,0
114,1319541,72,10,0
115,1281960,24,8,0
116,5522159,22,6,1
117,4428363,46,11,1
118,4759451,60,4,0
119,7154493,28,4,1
120,245844,67,4,0
121,8769550,23,13,1
122,8312895,35,12,0
123,4432483,69,6,0
124,9867887,79,9,0
125,444242,77,11,0
126,8288147,32,20,0
127,3159260,62,4,0
128,8753042,74,12,0
129,46750,33,13,1
130,1855377,26,3,0
131,7187813,47,2,1
132,5644262,60,7,1
133,4171960,73,16,0
134,9397962,58,3,0
135,3643187,77,20,0
136,2015341,47,6,0
137,7465121,37,2,0
138,3606323,33,0,0
139,2966871,78,7,0
140,8496659,59,12,0
141,7889777,35,15,0
142,3345583,32,2,0
143,4392927,41,2,1
144,4995211,68,9,0
145,3970273,53,14,0
146,2570688,46,9,0
147,2506726,54,11,0
148,9657655,76,0,0
149,4269729,70,8,0
150,799233,72,4,0
151,8791091,33,15,0
152,1122270,72,11,0
153,3775604,46,11,1
154,8195887,79,16,1
155,4392149,59,11,0
156,4991059,39,11,0
157,1013313,32,16,0
158,1800877,21,10,0
159,2217063,34,3,0
160,1134496,77,3,1
161,7462623,46,13,0
162,6045182,78,6,0
163,6847133,69,7,0
164,5403886,29,14,0
165,1856689,46,5,1
166,4998898,27,13,0
167,3367218,28,5,0
168,4195266,40,20,0
169,8451099,70,4,1
170,624985,47,11,1
171,3207222,28,3,0
172,4341286,75,1,0
173,233888,64,1,1
174,2942291,50,11,0
175,6044767,60,12,0
176,6694786,69,17,1
177,470555,50,10,0
178,8949796,66,0,0
179,412015,23,8,0
180,9352887,53,6,1
